Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0603_1608Metric",172.540000,-92.189000,-90.000000,top
"C2","1n","C_0603_1608Metric",172.540000,-112.027000,-90.000000,top
"C3","1n","C_0603_1608Metric",145.021000,-119.761000,0.000000,top
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",94.488000,-45.873500,-90.000000,top
"C5","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",91.978000,-45.873500,-90.000000,top
"C6","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.106000,-63.854500,90.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.616000,-63.854500,90.000000,top
"D1","D","TO-277B",165.625000,-84.190000,90.000000,top
"D2","D","TO-277B",165.520000,-104.405000,90.000000,top
"D3","D","TO-277B",137.615000,-125.665000,180.000000,top
"D4","D","D_0805_2012Metric",164.230500,-42.176500,-90.000000,top
"D5","D","D_0805_2012Metric",170.580500,-42.176500,-90.000000,top
"D6","D","D_0805_2012Metric",176.930500,-42.176500,-90.000000,top
"D7","D","D_0805_2012Metric",112.940000,-67.818000,90.000000,top
"D8","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",99.245500,-73.406000,0.000000,top
"D9","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",99.245500,-69.850000,0.000000,top
"D10","D","D_0805_2012Metric",115.980000,-67.818000,90.000000,top
"D11","LED_RGB","LED_RGB_5050-6",94.234000,-63.754000,90.000000,top
"D12","D","D_0805_2012Metric",158.437000,-42.292500,-90.000000,top
"D13","D","D_0805_2012Metric",152.849000,-42.242500,-90.000000,top
"Q1","IRF4905","TO-263-2",144.570000,-87.865000,180.000000,top
"Q2","BC817","SOT-23",147.847500,-47.310000,180.000000,top
"Q3","BC817","SOT-23",176.725000,-106.449500,180.000000,top
"Q4","IRF4905","TO-263-2",144.570000,-107.950000,180.000000,top
"Q5","BC807","SOT-23",165.168000,-47.244000,0.000000,top
"Q6","BC807","SOT-23",171.518000,-47.244000,0.000000,top
"Q7","BC807","SOT-23",177.868000,-47.244000,0.000000,top
"Q8","BC817","SOT-23",176.659000,-85.958500,90.000000,top
"Q9","BC817","SOT-23",192.961500,-46.924000,0.000000,top
"Q10","BC817","SOT-23",139.016500,-75.184000,0.000000,top
"Q11","BC817","SOT-23",99.646500,-63.881000,0.000000,top
"Q12","BC817","SOT-23",134.287500,-75.118000,0.000000,top
"Q17","BC807","SOT-23",159.453000,-47.178000,0.000000,top
"Q18","BC807","SOT-23",153.786500,-47.178000,0.000000,top
"Q19","BC817","SOT-23",188.015400,-53.412500,-90.000000,top
"Q20","BC817","SOT-23",187.037400,-83.203500,-90.000000,top
"Q22","IRF4905","TO-263-2",191.590400,-67.588000,-90.000000,top
"Q23","IRF4905","TO-263-2",190.828400,-99.290000,-90.000000,top
"R1","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.455000,-90.527500,90.000000,top
"R2","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",177.995000,-90.552500,-90.000000,top
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.621500,-81.562000,0.000000,top
"R4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",177.995000,-110.767500,-90.000000,top
"R5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.574500,-101.877500,0.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.455000,-110.767500,90.000000,top
"R7","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.595500,-56.171500,-90.000000,top
"R8","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.135500,-56.171500,90.000000,top
"R9","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.770500,-42.121500,90.000000,top
"R10","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.499000,-52.366500,90.000000,top
"R11","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",173.120500,-42.121500,90.000000,top
"R12","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.039000,-52.366500,90.000000,top
"R13","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",169.945500,-56.171500,-90.000000,top
"R14","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.485500,-56.157500,90.000000,top
"R15","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",179.470500,-42.201500,90.000000,top
"R16","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.666000,-61.468000,0.000000,top
"R17","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.295500,-56.171500,-90.000000,top
"R18","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.835500,-56.171500,90.000000,top
"R19","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.056000,-42.418000,180.000000,top
"R20","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.722000,-42.418000,0.000000,top
"R21","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.760000,-75.184000,90.000000,top
"R22","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.710000,-75.184000,90.000000,top
"R23","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.660000,-75.184000,90.000000,top
"R24","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.394000,-67.818000,90.000000,top
"R25","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.344000,-67.818000,90.000000,top
"R26","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.294000,-67.818000,90.000000,top
"R27","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.394000,-75.168000,90.000000,top
"R28","47.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",107.344000,-75.168000,90.000000,top
"R29","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.964000,-73.406000,0.000000,top
"R30","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.964000,-69.850000,0.000000,top
"R31","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.112000,-55.356000,90.000000,top
"R32","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.062000,-55.356000,90.000000,top
"R33","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.977000,-42.267500,90.000000,top
"R34","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.675000,-56.284500,90.000000,top
"R35","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.469000,-56.284500,90.000000,top
"R36","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.389000,-42.267500,90.000000,top
"R37","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.087000,-56.284500,-90.000000,top
"R38","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.881000,-56.284500,90.000000,top
"R39","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.991900,-52.318000,0.000000,top
"R40","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.060900,-81.855000,0.000000,top
"R41","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.477000,-38.338000,90.000000,top
"R42","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.012000,-55.356000,90.000000,top
"R43","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.886900,-78.553000,180.000000,top
"R44","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.427000,-38.338000,90.000000,top
"R45","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.991900,-54.604000,180.000000,top
"R46","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.013900,-84.395000,180.000000,top
"R47","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",95.377000,-38.338000,90.000000,top
"SW2","SW_Push","SW_SPST_TL3342",79.502000,-46.228000,0.000000,top
"SW3","SW_Push","SW_SPST_TL3342",79.502000,-53.278000,0.000000,top
"SW4","SW_Push","SW_SPST_TL3342",79.502000,-60.328000,0.000000,top
"U1","ACS712xLCTR-20A","SOIC-8_3.9x4.9mm_P1.27mm",165.620000,-90.932000,0.000000,top
"U2","ACS712xLCTR-20A","SOIC-8_3.9x4.9mm_P1.27mm",165.620000,-111.125000,0.000000,top
"U3","ACS712xLCTR-20A","SOIC-8_3.9x4.9mm_P1.27mm",145.235000,-125.665000,90.000000,top
"U4","ESP32-WROOM-32","ESP32-WROOM-32",109.393000,-45.742000,0.000000,top
"U5","CP2102N-Axx-xQFN20","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",88.900000,-71.412000,0.000000,top
"U7","MCP3428","SOIC-14_3.9x8.7mm_P1.27mm",174.885000,-69.215000,0.000000,top
"U8","MCP3428","SOIC-14_3.9x8.7mm_P1.27mm",150.055000,-69.215000,0.000000,top
